review,sentiment
"It wasn't until I saw Sidney Pollack in the picture that I ever connected him to this film. This is his worst possible movie. Absolute dreck. The dialog is wooden and unbelievable, the plot is unbelievable.<br /><br />Kristen Scott Thomas is wasted in this movie. There is nothing about her character that makes you even want to believe in this story.<br /><br />Harrison Ford is like on Valium. There is no life in his eyes.<br /><br />I blame Sidney Pollack for the failure of this movie. The script is awful, and he is too smart to not see that. So it smacks of some kind of payoff, whether of a studio obligation or something else, but this is just BLOODY ROTTEN!",negative
"The movie began well enough. It had a fellow get hit by a glowing green meteorite, getting superpowers (telekinesis, x-ray vision, invulnerability, flight, the ability to speak to dogs, superspeed, heat vision, and the ability to make plants grow large and quickly), and fighting crime. From there on it's all downhill.<br /><br />Meteor Man gets a costume from his mom, fights with the resident gangs, and has many aborted encounters with the gang leaders which serves to set you up for the disappointing, overlong, and stupefying ending.<br /><br />It wouldn't be so remarkably bad if it weren't like watching a boxing match where the two fighters pretend to hit each other while the audience stands looking onward while the fighters just continue to dance.<br /><br />Despite all of this nonsense the movie has good points. It states clearly that if you try to take on a gang alone then they'll come back to your home and hurt you. It states that gangs & communities need to see their real enemies (the big bosses that use them for their own ends to crush honest people into a ghetto existence). It also states that people do not need superheroes if they are willing to work as a community do destroy the predators that harm them. The only message it really lacks is that the voters should ensure their elected officials (Rudolph Giuliani, Marion Barry, Ronald Reagan, George W. Bush, & George H.W. Bush) aren't crooks too.<br /><br />",negative
"The Evil is about a big house where a bad spirit is foolishly unleashed to torture all inside. What a washout of a movie! There's not a single scary scene. Not one! Richard Crenna overplays a nothing role. There's some animated ghosts, a disfigurement by power saw, and a ghost-rape. After nothing special happens for almost the whole movie The Evil gets personified into...Victor Buono. Great! Where did the filmmakers get the idea that Buono is scary. He looks like he was on the bum for a guest starring paycheck to pay his liquor bill. By then its too late to turn it off, because the damn thing is over. I felt like throwing the videocassette out the window. Please avoid this junk! Hopefully it will never see the light of DVD and will fade into obscurity.",negative
"With Pep Squad receiving an average of 4.7 on IMDb.com, no wonder Steve Balderson slanders this website so. But the fact is that Pep Squad is a poorly crafted ""black"" ""comedy"" (both words in quotation marks for a reason). It's a movie full of over-acting (Cherry, Beth's Mother), coupled with a couple of lethargic performances (Beth and Julie's boyfriend). A movie where you can follow cars from twenty feet away in a gaudy red Jeep and never be noticed. A movie chock full of not-so-appetizing cleavage and nudity shots that make you wonder, ""Does the director think this is funny? Or clever?"" Most of all, the characters are so paper-thin and poorly developed that the film becomes quite unpredictable, but probably not on purpose. Pep Squad can't decide whether to be a comedy, or a drama, or a satire (patriotic music, I get it...). The movie fails at being serious, because the idea of killing for any school position (this being Prom Queen) crosses the line into insanity (not to mention shots of flag burning and drive-by shootings, a poor attempt at being controversial and edgy), and fails at being a comedy, for all the forced and awkwardly placed jokes (big butt mama, ""funky"" black principal, and excessive cussing delivered poorly by the principal cast). Watching the documentary ""Wamego: Making Movies Anywhere"" only made this film more cringe-worthy, with praise lauded towards it by... the director and the director's father... hmmmmmm. Not a black comedy, or anything for that matter. I guess Kansas will have to wait.",negative
"Cliché-ridden story of an impending divorce - or is it? - through the eyes of a 6 year-old child. Corny dialogue, cardboard characters, stock situations, a red herring zombie sub-plot and, worst of all, absolutely no payoff, either emotionally or dramatically.<br /><br />Does no-one teach creative writing any more? The true sign of a weak storyteller - when you cannot create any kind of satisfying denouement - just end the story. I'm compelled to ask, ""what made you think this was a story worth telling in the first place!?"" <br /><br />Good, but wasted, debut by child actor Anthony De Marco - the rest of the cast was, at best, forgettable. And they wonder why no-one watches indie films! This is ninety minutes of my life I will never get back.",negative
"I saw this movie with the intention of not liking it. I sure didn't. It's one of those movies that seems to have been made exclusively for the Oscars: music throughout the film in almost every single frame, almost no profanity, set in a time long gone, sepia-toned imagery, pretentious title, NO SEX, and a genius that explains everything he thinks and concludes in sfx/cgi so that we (the stupid audience) get it. One thing that amused me though is the fact that they spelled the NOBEL PRICE WRONG! Instead they call the Nobel-price (named after an actual person called Alfred Nobel) 'the noble-price'.. Jesus! How can one make such a mistake in such a big production, supposedly based on a true story. What a sham! What were you and the others thinking RON?",negative
"Yet another version of mother of all gangster flicks-the Classic ""Godfather"" and yet another case of over-hype due to media circus. Sarkar, the 13th Hindi film of Ram Gopal Varma as director is also the weakest in his Underworld trilogy including the other two being the excellent-Satya and Company. The Charisma, the magnetic persona of the two Bachchans playing father-son duo on screen for the first time is definitely a treat to watch out for. Not just strong performances but their perfect chemistry is the biggest scoring point here for which Varma should be applauded. However, the same equation of the duo is missing with the other characters in the film. Reason-the other characters look more like cardboard caricatures esp. the villains represent the typical Bollywood baddies. A character who attracts attention is elder son played by Kaykay but again not able to hold due to half-baked characterization. . The Drama and conflict is brought alive by the excessive use of Close-shots, which brought a claustrophobic effect rightly needed to construct an ambiance. The haunting Score (Amar Mohile) and the sound design (Kunal Mehta, Parikshit Lalwani & Anup Dev), together with dark, murky background overlapped by shinning powerful images (camerawork by Amit Roy) contributes to Visuals so typical of Ramu's style. But there is an overuse of Music though fortunately no songs are there in the film. But can interest of today's ""intelligently growing"" audience be sustained just on shoulders of two performers and strong Visuals ? I don't think so. Surely, audience ""maangey more"" and here film fails to deliver. In any adaptation, in order to add a new dimension, the biggest pre-requisite is the Screenplay, which is sluggish here not being crisp at places, and therefore the pace slackens quite often. What finally audience is subjected to is a highly predictable, very commonplace drama with very little surprise elements. Top Stunt director Allan Amin Ghani is also not in his best form. Some scenes which require a different treatment includes- a Minister is talking foul about Sarkar and the son is overhearing; a very amateurish shoot out in the jail on Sarkar, Sarkar Jr. escapes from the clutches of his enemies, a Son easily motivated to kill his own father, a son is secretly entering his father's room to kill him, a police commissioner slapping Sarkar Jr-all this requires a more realistic, hard-hitting approach which is the back-bone to create the required conflict. The dialogues are weak for eg. look at an amateurish line where a CM says to Sarkar Jr. ""Wo jo Police Commissioner tha na usay maine hata diya"".. The women folk take on Sarkar's working is completely ignored. The uninterrupted negotiations about criminal activities while Sarkar is with his family also look slightly out of place In fact, the film follows a graph quite similar to Ramu's own production-Ab Tak Chhappan. In depicting the battle between good and evil, the other side of life-the law, police, administration, politics is completely ignored. Certainly, more is expected in content. Here the film definitely falls short and could not rise above an average fare. Dear Ramu, agreed that now you are laughing your way to the bank, you definitely need to take some drastic overhauling measures in your film production factory, before it is too late.",negative
"This film is about a gap that exists between the real world and the world of the dead. There's a lot of mumbo-jumbo about the internet (i.e., if you install a program on the computer, you see dead folks--much like if you play a videotape you'll die in RINGU). Frankly, most of this seemed rather silly and lost me. What I did find interesting is the idea that the dead live within their own separate existence--being totally alone for eternity. This was sobering and fascinating.<br /><br />I love Japanese films and have seen a huge number compared to most Americans. However, one genre that has become popular in recent years that I just can't relate to very well are these horror films. I know they are super popular--especially since they seem to be remade so often in the States. I've seen both RINGU as well as THE RING, JU-ON and THE GRUDGE and was rather ambivalent despite their popularity. About the only recent horror film I really liked from Japan was SEANCE--a reworking of the great British film, SEANCE ON A WET AFTERNOON. And what, do I think, made SEANCE different? Well, unlike the other films as well as KAIRO, gobs and gobs of money weren't spent on special effects or trying to scare the audience--instead, the emphasis was on the story. The bottom line is that these other films are a lot like American films like HALLOWEEN or Friday 13th--with scary things jumping out just to scare the audience and plot is purely secondary (at best). For me, I want story--not cheap thrills or ghosts as the primary focus of the film.<br /><br />With a relatively high rating, I know I am in the minority, but I just don't find this a very satisfying film. All too often, minor things occur that might startle someone slightly--but the characters begin screaming and crying and acting as if to say ""this is the scariest film ever made so you'd better start shaking"". Well, I think it just tries too hard and I wish it had focused more on the afterlife seen at the end of the film and plot progression--not scare tactics.",negative
"I was looking forward to Kathryn Bigelow's movie with great anticipation after the endless hype and 6 Oscars which it was awarded. Unfortunately it really isn't a good movie. The depiction of the situation certainly seemed to be accurate and believable on all counts, but beyond that the story simply came across as incomplete and the direction of the movie appeared to be uncertain and haphazard. The actors put in a good effort, but for me I didn't really get what the movie was trying to be. It's not as atmospheric and gripping as Full Metal Jacket, not as epic as Band of Brothers, not as action packed as...well, anything. I certainly can't see why it was nominated for so much, nor why people are 'hyping it up' to these epic proportions. Mind you, given the calibre of movies in the last couple of years I suppose there's not a lot to choose from.",negative
"Unfortunately, this has been showing on Star Movies here in Thailand for the last week or so. It's complete rubbish acting. As another member said, this movie is a good example of 'how not to act.' I haven't seen a movie so poorly acted in a long time. The actors (can you call them 'actors'?) are completely flat and deliver their lines with the passion of a dead dog. I would say that in order to truly understand how bad the acting is, you would have to see the movie... but that would be akin to torture.<br /><br />I cringe as the leading lady delivers her lines, and the rest of the cast with their accents (fake or contrived) is equally heinous. Another actress with the fake British accent was pretty, yes, but good lord was her accent terrible. Mix that with her (lack of) acting and you have a disaster. She should just have said nothing and I could have accepted her as the pretty girl. Oh my, we just got to the scene where the leading lady's lover says ""Really me?"" after a forced crying scene from her. Laughable. No, really, I just laughed out loud.<br /><br />The sets and the art directors offer some saving grace to the film. Some of the sets are colorful and some of the scenes are rather nice (minus the actors).<br /><br />The old magic potion lady? What?! Another member mentioned the 'modern' love song that was in the movie. Totally inappropriate for a period piece set some 500 years ago.<br /><br />I understand the movie was considered 'Big Budget' in Thailand at the time of it's production. I would be seriously upset if I were the producer of this movie. Just goes to show that money does not necessarily make a good (or even mediocre) film.<br /><br />I would give the King Maker a 1 out of 10, but the costumes and sets make save the film from such a rating. 2 out of 10.",negative
"Without a doubt this is the WORSE comicbook movie every made. PERIOD!! Yes, it's worse then Dolph Lundgren's (1989) Punisher. Yup.. worse then the 1979 & 1991 Captain America movies. Oh yeah, it's even WORSE then Christopher Reed scripted Superman IV: Quest for Peace movie. Sheeshh.. that movie was so bad that the guy who played Nuclear Man only starred in one other film and it was only on T.V. =oP<br /><br />This movie is ""D"" quality. I had a chance to watch it on the SciFi channel back in 1997. I had heard it was pretty bad, but had nothing else to do that night so I figured I check it out. What a waste of an hour and a half. I would have been better off watching reruns of Different Strokes. Besides having the lamest special effects and worse acting I've ever seen, the whole script was just awful and not well directed at all. Thankfully a NEW Fantastic Four movie is being done and hopefully this version will do the heroes justice. I was hoping for a New SPAWN movie in the future, but it has yet to materialize. <br /><br />Do not rent this movie. If you happen to see it being televised on cable, check it out. Be warned though, you'll most like be flipping the channel after the first 15 mins.",negative
"For Daniel Auteuil, `Queen Margot' was much better. For Nastassja Kinski, `Paris, Texas' was much better. The biggest disappointments were from Chris Menges (`CrissCross' and `A World Apart' cannot even be compared with this one), and Goran Bregovic for use of a version of the same musical theme from `Queen Margot' for this movie (Attention to the end of the film). If this was an American pop movie, I would not feel surprised at all; but for a European film with more independent actors and director, a similar common approach about child abuse with no original insight is very simple-minded and disappointing. There are those bad guys who kidnap and sell the underage people. There are those poor children who hate people selling them and wait to be saved by someone. And finally, there is that big hero who kills all the bad guys and saves these poor children from bad guys. Every character is shown in simple black and white terms: the good versus the evil. Plus, from the very beginning, I could understand how the story would end. Is this the end of the history of child sexual abuse? I believe that the difficult issue of child molestation and paedophilia is much more complex than how it is portrayed in this not very original movie. I think this movie was not disturbing, but very disappointing.",negative
"Just bought the VHS on this film for two bucks, Did I waste my money! Hey, I dig Adam ""Batman"" West and Tina ""Giligan's Island"" Louise, but hello! This third rate production is a rehash of a dozen other biker films; crazed bunch of bikers psychos ride into a hick town, beat up everybody and everything, and then are defeated in the man by a dashing hero. Adam West looks the part as a hero, but he's missing cape, and his Batman uniform. Sorry, just isn't the same. Tina L. looks really nervous and frightened the whole show, but at least we know what happened to ""Ginger"" once she was rescued from the island...LOL! The bikers are a motley group, and known of them ever acted again or at least shouldn't have. Hell Riders is Hell to Watch!",negative
"This movie is truly amazing,over the years I have acquired a taste for Japanese Monster movies and am well aware that early examples of this genre can be poor. However this one reaches a new low, as it follows the adventures of Johnny Sokko(?), a young boy who controls a Giant Robot, and his fight against the evil Gargoyle Gang, who seem to have an endless supply of horrid giant monsters at their disposal.",negative
"A boring movie about a miserable loser...that's Factotum in a nutshell. Matt Dillon plays Henry Chinaski, alter ego of author Charles Bukowski upon whose novel the film is based. As we meet Chinaski he may be a writer but he's certainly not a successful one. He floats through life, getting fired from one menial job after another and not caring a bit. The fact that he's always drunk may have something to do with his not caring. He meets a woman, Jan, played by Lili Taylor and a relationship ensues. Chinaski moves into Jan's apartment and now instead of getting drunk by himself he can get drunk with somebody else. Good times. Eventually he's had enough of this relationship so Chinaski strikes out on his own. Unfortunately he still can't hold down a job so soon enough he's broke. At this point Marisa Tomei shows up and for some reason her character, Laura, decides to rescue this miserable drunken loser whom she doesn't even know. We soon meet some of Laura's acquaintances and the film veers off into a sort of bizarro world with this rather eclectic bunch. Soon enough Tomei and friends are out of the picture and once again we're left with Chinaski and his drinking and his miserable little life. There's some more time spent with Jan but mostly there's just time spent being a drunk, unemployable loser. And then the movie's over and not a moment too soon. 94 minutes of absolute monotony and it seems infinitely longer as the movie drags on. Nothing happens. Nothing ever happens. If you want to spend an hour and a half of your life watching Matt Dillon drink then this is the movie for you. If you're looking for a compelling story, well developed characters or any entertainment value whatsoever then you've come to the wrong place. Dillon's performance actually isn't bad at all. Too bad the movie which surrounds him is in fact rather bad.",negative
"A different look at horror. The styling differences between American and Russian films is interesting. However from my American perspective this movie just wasn't that good. The protagonist, Marie played by Anastasia Hille wasn't a pleasant character and I had a hard time identifying with her. She was disagreeable most of the time and confused for much of what little time was left. Also too much time was spent in bringing her to the main location of the film. Then a long time passed before any real suspense built up. Once that happened it seemed volume was used as the main effect which was more annoying than anything else. The concept was more original than most Direct-to-video movies and they didn't use sex to make up for a thin plot. All in all I'd recommend it for renting, but not for theater goers.",negative
"In what I can say was a theft of my time I was taken to see this movie and I must say what a horrible experience. Fay Ann Lee is a terrible actress and is unconvincing in this movie. Larryjoe76 is obviously a shill reviewer. The plot is thin to say the least, the Cantonese dialog is not funny. See this movie at your peril.<br /><br />David Tang from Shanghai Tang should be after the movie for the little or no revenue this movie will generate. The banal plot attempts to compete with other rom-coms out there, and just blends into the scenery. It was like watching paint dry. <br /><br />In short this movie was a total waste of time and space. I've seen better movies on youtube.",negative
"End Game started well, the least said about the end the better. it seemed like things we're happening just to keep the plot going, for example the reporter who at first is a very inquisitive, intelligent person, half way through does something really stupid and totally out of character, we are given no reason for this apart from, the next scene wouldn't make sense without it. The whole story could have been told in about 30 minutes, it would have made an average TV political drama The brilliant Cuba Gooding Jr. is very watchable however and James Woods does an admirable job considering.<br /><br />The end game was honestly one of the worst films I've ever seen......and that's saying something, I've seen Gigli.",negative
"It seems on the surface to be a romantic _planes, trains and automobiles_ but at times tried for something more, where it failed miserably. Some may like the nontraditional ending, but the attempts at ""deep insight"" into the world of marriage flopped around not really going anywhere.<br /><br />But if you were interested by the story, the movie tried other methods to distract you. The unnecessary special effects, of which the falling rain was the most obvious, served to do nothing but annoy. The camera-work is erratic at best.<br /><br />One note of caution, however. My movie experience as a whole was less than satisfying, sitting in the first row with a group of young'uns around...",negative
"Well...now that I know where Rob Zombie stole the title for his ""House of 1,000 Corpses"" crapfest, I can now rest in peace. Nothing about the somnambulant performances or trite script would raise the dead in ""The House of Seven Corpses,"" but a groovie ghoulie comes up from his plot (ha!) anyway, to kill the bloody amateurs making a low-rent horror flick in his former abode! In Hell House (sorry, I don't remember the actual name of the residence), a bunch of mysterious, unexplained deaths took place long ago; some, like arthritic Lurch stand-in John Carradine (whose small role provides the film's only worthwhile moments), attribute it to the supernatural; bellowing film director John Ireland dismisses it as superstitious hokum. The result comes across like ""Satan's School for Girls"" (catchy title; made-for-TV production values; intriguing plot) crossed with ""Children Shouldn't Play With Dead Things"" (low-rent movie about low-rent movie makers who wake the dead); trouble is, it's nowhere near as entertaining or fun. ""The House of Seven Corpses"" is dead at frame one, and spends the rest of its 89 minutes going through rigor mortis, dragging us along for every aching second...",negative
"I hadn't heard of Soap Girl but I saw a poster with a five star review from Film Threat outside the theater so I figured, how bad could it be? Well, I soon found out. My god this film was awful. The most wooden acting I have ever seen outside of a porn flick. Absolutely agonizing dialogue. I just can't understand how this was made and why anyone agreed to be a part of it. And I find it completely unfathomable that this was actually being shown in a theater and money was being charged to see it. How did this happen????? And most importantly WHAT THE WAS THE GUY FROM FILM THREAT THINKING?!?!?!?!",negative
"And obviously I didn't see it! <br /><br />But looking at the cast and seeing that Doug Masters is back from the dead, I know now to avoid this like the plague! I hate it when Hollywood, producers, writers, directors or all of the above think that audiences are stupid that they're not going to catch continuity errors. A supposedly dead Doug Masters returning is a big giant one, won't you say?<br /><br />And I can't believe that someone like Louis Gossett, Jr. would return for something like that.<br /><br />Did Jason Gedrick really decline this? Well, I hate to say it, but even if he took the role again, it would have still had that same continuity error. I bet (if he really turned it down), he must have been incredulous seeing that his character died in the second film.<br /><br />I'll probably catch it by accident on a late night air on some channel, but no way am I going to rent this or buy the DVD!",negative
"Perhaps I couldn't find the DVD menu selection for PLOT: ON OFF. Clearly, the default is OFF. When the end credits began to roll, I couldn't believe that was it. Like our poor, but beautiful protagonist, I felt used, dirty, cheap....<br /><br />The characters were drawn in very broad strokes and the writer's disdain for wealthy Thatcherites was all to apparent. I consider myself a ""Roosevelt Democrat"", but would appreciate a bit more subtlety.<br /><br />Of course, the problem could be with me. I see that many others seem to find some meaning or message in this picture. Alas, not I. <br /><br />The only thing that kept me from giving this a ""1"" was the nice scenery, human and plant.",negative
"I viewed the first two nights before coming to IMDb looking for some actor info. I saw the 9+ rating which surprised me since I was not that impressed by what I'd seen. (As reference, I happen to believe Lonesome Dove was the best TV western ever. I grew up next to the MGM back lots in Culver City in the 50s and have a certain sense of reverence about the Western genre.) <br /><br />So I saw the glowing first review and decided to read ""more"". There I found several reviews with 1 or 2 stars that summed up my feelings well about the lack of character development, poor editing, feeling that it was shot on the Universal back lot (MGM's is long gone), and overall impression that it was not going to come close to changing my feelings about LD. My impression is that the overwhelming vote of those who chose to write was ""less than a 4.0"".<br /><br />This got me to wondering about the process that yields a 9+ rating. If the people giving the 10s and 9s do not take the time to justify their vote, is the ballot box being stuffed by people with a monetary motivation? I have long used IMDb as one tool to screen movies and thought it the best available. Now I am not so sure.",negative
"I'm a bit spooked by some of these reviews praising A.K.A. Not only do they sound as if they were written by the same person, but they contain all kinds of insider information that surely you could only find by reading the press book from cover to cover. Please don't tell me that the director is writing his own reviews as that would just be too sad to contemplate.<br /><br /> Afraid I'm another one of those who hated the film and was surprised by its unapologetic amateurism. Great idea, shame about the execution. And it was most disconcerting to watch so many good actors (as well as some very bad ones including the leaden lead) all apparently thinking that they were appearing in a series of very different films.<br /><br /> I wish that A.K.A. had been audacious, innovative or just simply interesting. Sadly it was like watching an unintentionally hysterical home video with arty aspirations. A missed opportunity.",negative
"This movie's basic premise is that everyone in the world can know that a person is gay except for that person. And that a man who likes show tunes, has good taste, and is neat in appearance MUST be a homosexual. Yes, the movie is funny in parts, but the basic premise is to homophobic and insulting that the entire movie crumbles into something that is quite painful to sit through. The performances, particularly Joan Cusak and Kevin Kline are very good.",negative
"A group of tourists are stranded on Snake Island after an unfortunate accident with their boat. They are forced to spend the night and as you probably suspected, it isn't called Snake Island because it's just soooooo much fun to say - it has a history of people disappearing one by one because of the large snake population, which is just what happens with these poor dumb souls. This is a very boring and typical movie with tons of off screen snake attacks and lousy performances from NOBODY actors. The only somewhat entertaining scene was an absolutely unnecessary and forced strip scene which ain't anything couldn't see in a PG13 rated movie, folks. If you are into snake movies than check out SSSSSSS, but don't torture yourself with this crap.",negative
"Avida is a game of words mingling life and eagerness, but I personally think this movie was overblown by its ambition and does not make justice to its title. It gathers a set of awkward characters united by unbelievable links. Furthermore, the way everything is connected at the end is, in my opinion, a bit pathetic. What remains of it was a set of images... an interesting one, but not enough to make this a good movie. <br /><br />I believe this film is supposed to be a comedy, but I surely didn't noticed! The nonsense and caricatural nature of the movie is actually the only good thing about it, but when it drags on an on and on it becomes no longer bearable. I have to say I fought hard to continue seeing it until the end, and I am still not sure it was worth it...",negative
"The biggest mystery of Veronica Mars is not one that she had to tackle on screen.<br /><br />Rather, the mystery is why this perennial ratings disappointment is still on the air. This week marked a nadir for Veronica Mars: it ranked 146 out of 146 shows in the big 6 (soon to be Big 5). Yes, you read right. Veronica Mars was beaten by every show of the now-defunct WB and every show on UPN. It was beat by all the shows on Fox and of course by all the shows on ABC, CBS and NBC.<br /><br />Now, the hip hypesters are going to say: but this was a re-run. But everything on TV that week was pretty much a re-run! It boggles the mind why CW would choose this proved ratings disappointment as one of the few shows it saved from UPN.<br /><br />Clearly something is going on behind the scenes. Favors are being exchanged and influence peddled.<br /><br />Sorry to be so cynical, but what other explanation is there? The ""Veronica Mars has potential"" line is clearly dead now that it's had two years to establish itself and failed to do so.<br /><br />Maybe it's Joel Silver's influence and clout, but frankly, I am at a loss why anyone would choose to spend their clout on a bad show that no audience is watching.<br /><br />A great mystery and a very inauspicious debut for CW.",negative
"Weak plot, unlikely car malfunction, and helpless fumbling characters. At first I thought this movie was made during the seventies, since the picture quality, as well as the storyline and drama seemed taken from an old Kojac episode. When I checked and found that it was really made as late as -97 I was astonished. This is by far one of the worst and least (thriller) movies I have ever seen.<br /><br />If you read this, be advised, if you see it you waste time when you could have done something more exciting, like watching paint dry.",negative
